January,February,March,April,May,June,July,August,September,October,November,December
-0.95,4.0,7.25,17.75,16.15,19.3,21.85,19.15,19.25,17.6,9.6,2.05
0.85,3.65,8.2,17.4,15.75,21.15,22.65,19.9,19.55,16.5,10.35,5.2
1.95,3.25,7.1,14.8,14.25,20.6,24.4,17.9,20.2,16.25,6.85,3.65
2.45,6.5,7.4,12.35,15.6,22.15,21.35,18.8,20.15,18.55,7.75,1.85
1.4,5.2,8.25,9.8,14.9,22.45,22.7,21.65,20.65,17.1,7.9,4.15
1.45,4.85,7.8,7.4,14.4,21.35,23.5,21.55,21.0,14.6,7.3,4.8
-1.35,5.05,5.9,4.25,17.9,20.2,26.1,22.35,20.5,17.0,7.7,1.5
-1.4,6.7,6.45,7.55,15.85,21.85,23.0,23.3,21.65,16.25,5.35,0.1
-2.6,5.45,7.25,8.45,16.3,22.0,23.6,23.3,20.85,14.4,6.2,2.65
-3.3,4.9,7.05,11.95,19.45,23.0,23.55,22.45,20.05,11.4,9.7,-2.0
-5.1,4.4,6.2,9.65,16.25,22.5,23.9,24.2,21.35,12.05,10.15,4.2
-5.4,1.25,9.95,8.25,14.6,22.35,23.6,24.55,21.4,9.95,8.9,4.2
-1.7,1.25,8.55,8.45,16.05,24.55,21.8,24.6,21.85,11.15,7.0,3.85
1.7,-0.55,7.9,8.9,16.05,22.7,19.1,26.05,21.85,9.05,9.1,3.7
1.95,0.05,6.35,6.45,14.9,24.75,18.6,26.3,19.5,8.05,10.05,3.1
-1.0,1.8,9.0,8.45,14.7,23.75,19.55,22.45,19.35,10.65,7.9,1.75
-2.95,4.65,6.65,9.55,16.15,25.35,22.9,21.3,22.15,9.95,9.2,2.8
-3.1,3.95,6.4,11.4,15.0,27.4,24.65,21.2,21.5,10.75,9.15,1.8
-1.95,7.2,4.4,11.05,15.7,26.6,26.3,22.05,17.35,9.9,7.4,3.1
-1.0,8.8,4.05,11.5,14.95,26.25,23.95,22.65,18.0,11.1,6.95,2.9
0.65,8.5,5.5,13.05,15.5,27.0,24.65,22.7,17.75,14.25,6.25,-0.3
1.85,8.45,11.0,14.1,15.4,25.8,23.8,22.2,16.0,13.65,8.6,-1.05
4.5,9.3,10.3,14.4,15.65,25.25,23.35,21.1,17.1,10.95,7.2,-1.15
3.4,11.15,9.8,16.15,12.35,24.0,25.35,20.35,17.45,8.7,4.5,0.55
1.0,11.05,10.95,15.9,14.45,23.0,23.6,20.5,17.9,7.95,2.05,3.6
2.35,10.9,11.5,14.3,15.25,23.85,20.5,21.5,17.15,8.45,5.05,2.5
-0.6,12.35,12.95,14.75,16.9,24.65,21.0,20.65,19.95,8.15,6.45,4.15
0.4,9.0,13.4,15.55,16.6,25.8,22.9,18.3,19.25,8.35,3.65,4.5
0.15,0.0,15.6,14.75,16.8,26.55,23.6,16.05,18.3,9.5,5.45,5.65
2.35,0.0,15.7,16.5,16.55,23.6,23.95,16.85,18.35,7.4,0.6,6.55
4.6,0.0,17.15,0.0,18.65,0.0,24.5,17.15,0.0,10.7,0.0,7.7
